"operator_document_annex_id","operator_document_id"
100157,20018
20007,20038
10075,18998
119,6851
163,6839
10114,23537
100131,23776
161,6991
20075,21728
100134,23059
20185,23662
145,6833
115,6849
100119,17387
10102,18998
111,6835
100145,23025
100133,23053
100120,6972
20009,20040
20006,20030
10083,19128
100109,117297
10078,19005
100147,23031
100146,23031
100091,116266
20056,21709
10104,19005
20005,20028
10056,18918
164,6839
117,6851
10077,23537
20055,21709
10103,19128
100158,20018
100148,23031
100108,117049
69,6471
118,6851
100156,20010
100144,23025
162,6990
10113,19355
20008,20039
