"operator_document_annex_id","operator_document_id"
41,4958
42,4958
43,4958
46,4089
47,5105
56,6371
61,6450
62,6451
63,4471
64,4472
65,4330
66,4233
67,6453
68,6454
69,6470
70,6710
71,6711
72,6711
73,6711
74,6711
75,6711
76,6711
77,6711
78,6711
79,6711
80,6711
81,6741
83,6780
89,6787
90,6760
91,6789
92,6796
93,6800
94,5058
96,6805
97,6809
98,6807
99,6810
100,5047
101,5046
102,5059
103,4541
104,5047
105,5046
106,5059
109,6814
110,6827
111,6835
112,6841
113,6847
114,6847
115,6849
116,6851
117,6851
118,6851
119,6851
120,6856
121,6856
122,6856
123,6856
124,6856
125,6856
126,6856
127,6856
128,6856
129,6856
130,6856
131,6856
132,6856
133,6856
134,6856
135,6856
136,6856
137,6856
138,6856
139,6857
140,6857
141,6854
142,6854
143,6854
144,6860
145,6833
146,6866
147,6968
148,6968
149,6968
150,6968
151,6968
152,6968
153,6968
155,6810
156,6807
157,6807
159,6968
160,6988
161,6991
162,6990
163,6839
164,6839
165,6866
166,4110
167,7274
168,7276
169,7276
171,6797
172,6968
173,6999
174,6998
175,7001
176,7000
177,7003
178,7002
179,7006
180,7005
181,6901
182,7419
183,7419
184,7436
10034,17911
10035,17910
10041,18053
10042,18844
10046,18878
10049,17955
10055,18917
10056,18918
10059,17953
10061,17952
10065,18844
10067,18934
10069,18936
10075,18998
10077,17939
10078,19005
10079,19130
10080,19131
10083,19128
10093,18854
10099,18891
10100,19320
10102,18998
10103,19128
10104,19005
10113,19355
10114,17939
10115,19366
10119,19431
10120,19431
10121,19430
10124,19517
10125,19523
10132,19646
20001,20001
20002,20006
20003,20006
20004,20028
20005,20028
20006,20030
20007,20038
20008,20039
20009,20040
20013,20087
20014,20001
20018,20103
20019,20104
20023,20139
20025,20542
20026,20542
20027,20542
20028,20545
20029,20545
20031,20555
20033,20659
20035,20694
20036,20694
20037,20694
20038,20694
20039,20700
20040,20701
20041,20710
20042,20714
20043,20728
20044,20728
20045,20762
20046,7436
20050,20811
20051,20811
20052,20811
20053,20812
20054,20812
20055,20814
20056,20814
20060,20826
20061,20826
20062,20822
20063,20833
20064,20821
20067,21703
20068,21703
20072,21705
20073,21708
20075,21727
20078,21830
20079,21846
20080,21846
20081,21850
20082,21852
20089,7436
20090,21912
20097,9750
20098,20811
20113,18854
20119,22175
20122,22302
20123,22354
20124,22356
20127,22297
20128,22297
20129,22298
20130,22289
20131,22290
20142,21813
20143,21813
20144,22481
20145,22482
20146,20764
20147,20764
20148,20764
20149,20764
20150,20764
20151,22484
20153,5098
20154,22513
20155,22517
20156,22517
20159,22517
20161,22097
20171,21838
20174,22521
20185,23662
20243,23863
20244,23864
20245,23866
20246,23874
20247,23875
20248,23876
20252,23906
100035,21855
100036,23654
100040,22258
100041,116469
100042,116563
100043,116564
100044,116569
100045,116571
100046,116572
100060,116376
100074,116244
100075,116244
100080,23884
